# interpolation 
# x qspline integ deriv
0.223 0.973749 0.222188 -0.340777
0.224 0.973407 0.223176 -0.342152
0.225 0.973065 0.224164 -0.343413
0.226 0.972721 0.225151 -0.344561
0.227 0.972375 0.226139 -0.345595
0.228 0.972029 0.227127 -0.346516
0.229 0.971682 0.228115 -0.347323
0.23 0.971335 0.229102 -0.348017
0.231 0.970986 0.23009 -0.348598
0.232 0.970638 0.231078 -0.349065
0.233 0.970288 0.232065 -0.349419
0.234 0.969939 0.233053 -0.349659
0.235 0.969589 0.234041 -0.349786
0.236 0.969239 0.235028 -0.3498
0.237 0.96889 0.236016 -0.3497
0.238 0.96854 0.237004 -0.349487
0.239 0.968191 0.237991 -0.34916
0.24 0.967842 0.238979 -0.34872
0.241 0.967493 0.239967 -0.348166
0.242 0.967145 0.240954 -0.347499
0.243 0.966798 0.241942 -0.346719
0.244 0.966452 0.24293 -0.345825
0.245 0.966107 0.243918 -0.344818
0.246 0.965762 0.244905 -0.343697
0.247 0.965419 0.245893 -0.342463
0.248 0.965077 0.246881 -0.341116
0.249 0.964737 0.247868 -0.339655
0.25 0.964398 0.248856 -0.338081
0.251 0.964061 0.249844 -0.336393
0.252 0.963725 0.250831 -0.334592
0.253 0.963392 0.251819 -0.332677
0.254 0.96306 0.252807 -0.330649
0.255 0.962731 0.253794 -0.328508
0.256 0.962403 0.254782 -0.326253
0.257 0.962078 0.25577 -0.323885
0.258 0.961755 0.256758 -0.321403
0.259 0.961435 0.257745 -0.318808
0.26 0.961118 0.258733 -0.3161
0.261 0.960803 0.259721 -0.313278
0.262 0.960491 0.260708 -0.310343
0.263 0.960183 0.261696 -0.307294
0.264 0.959877 0.262684 -0.304132
0.265 0.959574 0.263671 -0.300856
0.266 0.959275 0.264659 -0.297467
0.267 0.958979 0.265647 -0.293965
0.268 0.958687 0.266634 -0.290349
0.269 0.958399 0.267622 -0.28662
0.27 0.958114 0.26861 -0.282777
0.271 0.957833 0.269597 -0.278821
0.272 0.957556 0.270585 -0.274752
0.273 0.957284 0.271573 -0.270569
0.274 0.957015 0.272561 -0.266272
0.275 0.956751 0.273548 -0.261863
0.276 0.956492 0.274536 -0.257339
0.277 0.956237 0.275524 -0.252703
0.278 0.955986 0.276511 -0.247953
0.279 0.955741 0.277499 -0.24309
0.28 0.9555 0.278487 -0.238113
0.281 0.955265 0.279474 -0.233022
0.282 0.955034 0.280462 -0.227819
0.283 0.954809 0.28145 -0.222502
0.284 0.954589 0.282437 -0.217071
0.285 0.954375 0.283425 -0.211527
0.286 0.954166 0.284413 -0.20587
0.287 0.953963 0.2854 -0.200099
0.288 0.953766 0.286388 -0.194215
0.289 0.953575 0.287376 -0.188217
0.29 0.95339 0.288364 -0.182106
0.291 0.953211 0.289351 -0.175882
0.292 0.953038 0.290339 -0.169544
0.293 0.952872 0.291327 -0.163093
0.294 0.952712 0.292314 -0.156528
0.295 0.952558 0.293302 -0.14985
0.296 0.952412 0.29429 -0.143059
0.297 0.952272 0.295277 -0.136154
0.298 0.95214 0.296265 -0.129135
0.299 0.952014 0.297253 -0.122004
0.3 0.951896 0.29824 -0.114759
0.301 0.951785 0.299228 -0.1074
0.302 0.951681 0.300216 -0.0999279
0.303 0.951585 0.301203 -0.0923425
0.304 0.951496 0.302191 -0.0846437
0.305 0.951416 0.303179 -0.0768314
0.306 0.951343 0.304167 -0.0689057
0.307 0.951278 0.305154 -0.0608666
0.308 0.951221 0.306142 -0.0527141
0.309 0.951172 0.30713 -0.0444482
0.31 0.951132 0.308117 -0.0360688
0.311 0.9511 0.309105 -0.0275761
0.312 0.951077 0.310093 -0.0189699
0.313 0.951062 0.31108 -0.0102503
0.314 0.951057 0.312068 -0.00141726
0.315 0.951051 0.313025 -0.012211
0.316 0.951032 0.313976 -0.0265642
0.317 0.950998 0.314927 -0.0407314
0.318 0.950951 0.315878 -0.0547127
0.319 0.950889 0.316829 -0.068508
0.32 0.950814 0.31778 -0.0821175
0.321 0.950725 0.318731 -0.095541
0.322 0.950623 0.319682 -0.108779
0.323 0.950507 0.320633 -0.12183
0.324 0.950379 0.321584 -0.134696
0.325 0.950238 0.322536 -0.147376
0.326 0.950084 0.323487 -0.15987
0.327 0.949918 0.324438 -0.172178
0.328 0.94974 0.325389 -0.1843
0.329 0.94955 0.32634 -0.196236
0.33 0.949348 0.327291 -0.207986
0.331 0.949134 0.328242 -0.21955
0.332 0.948909 0.329193 -0.230929
0.333 0.948672 0.330144 -0.242121
0.334 0.948424 0.331095 -0.253128
0.335 0.948166 0.332046 -0.263948
0.336 0.947897 0.332997 -0.274583
0.337 0.947617 0.333948 -0.285032
0.338 0.947327 0.334899 -0.295294
0.339 0.947026 0.33585 -0.305371
0.34 0.946716 0.336801 -0.315262
0.341 0.946396 0.337752 -0.324967
0.342 0.946066 0.338703 -0.334486
0.343 0.945727 0.339655 -0.34382
0.344 0.945378 0.340606 -0.352967
0.345 0.945021 0.341557 -0.361928
0.346 0.944655 0.342508 -0.370704
0.347 0.94428 0.343459 -0.379293
0.348 0.943896 0.34441 -0.387697
0.349 0.943504 0.345361 -0.395914
0.35 0.943104 0.346312 -0.403946
0.351 0.942696 0.347263 -0.411792
0.352 0.942281 0.348214 -0.419452
0.353 0.941858 0.349165 -0.426926
0.354 0.941427 0.350116 -0.434214
0.355 0.940989 0.351067 -0.441316
0.356 0.940544 0.352018 -0.448232
0.357 0.940093 0.352969 -0.454962
0.358 0.939635 0.35392 -0.461507
0.359 0.93917 0.354871 -0.467865
0.36 0.938699 0.355822 -0.474038
0.361 0.938222 0.356774 -0.480024
0.362 0.937739 0.357725 -0.485825
0.363 0.93725 0.358676 -0.49144
0.364 0.936756 0.359627 -0.496868
0.365 0.936257 0.360578 -0.502111
0.366 0.935752 0.361529 -0.507168
0.367 0.935242 0.36248 -0.512039
0.368 0.934728 0.363431 -0.516724
0.369 0.934209 0.364382 -0.521224
0.37 0.933686 0.365333 -0.525537
0.371 0.933158 0.366284 -0.529664
0.372 0.932626 0.367235 -0.533606
0.373 0.932091 0.368186 -0.537361
0.374 0.931552 0.369137 -0.540931
0.375 0.931009 0.370088 -0.544314
0.376 0.930463 0.371039 -0.547512
0.377 0.929914 0.37199 -0.550524
0.378 0.929362 0.372942 -0.55335
0.379 0.928807 0.373893 -0.55599
0.38 0.92825 0.374844 -0.558444
0.381 0.927691 0.375795 -0.560712
0.382 0.927129 0.376746 -0.562794
0.383 0.926565 0.377697 -0.56469
0.384 0.925999 0.378648 -0.5664
0.385 0.925432 0.379599 -0.567925
0.386 0.924864 0.38055 -0.569263
0.387 0.924294 0.381501 -0.570416
0.388 0.923723 0.382452 -0.571382
0.389 0.923151 0.383403 -0.572163
0.39 0.922579 0.384354 -0.572758
0.391 0.922006 0.385305 -0.573167
0.392 0.921432 0.386256 -0.57339
0.393 0.920859 0.387207 -0.573427
0.394 0.920286 0.388158 -0.573278
0.395 0.919712 0.389109 -0.572943
0.396 0.91914 0.390061 -0.572422
0.397 0.918568 0.391012 -0.571716
0.398 0.917996 0.391963 -0.570823
0.399 0.917426 0.392914 -0.569744
0.4 0.916857 0.393865 -0.56848
0.401 0.916289 0.394816 -0.56703
0.402 0.915723 0.395767 -0.565393
0.403 0.915158 0.396718 -0.563571
0.404 0.914596 0.397669 -0.561563
0.405 0.914035 0.39862 -0.559369
0.406 0.913477 0.399571 -0.556989
0.407 0.912922 0.400522 -0.554423
0.408 0.912368 0.401473 -0.551671
0.409 0.911818 0.402424 -0.548733
0.41 0.911271 0.403375 -0.54561
0.411 0.910727 0.404326 -0.5423
0.412 0.910186 0.405277 -0.538805
0.413 0.90965 0.406228 -0.535123
0.414 0.909116 0.40718 -0.531256
0.415 0.908587 0.408131 -0.527202
0.416 0.908062 0.409082 -0.522963
0.417 0.907541 0.410033 -0.518538
0.418 0.907025 0.410984 -0.513927
0.419 0.906513 0.411935 -0.50913
0.42 0.906007 0.412886 -0.504147
0.421 0.905505 0.413837 -0.498978
0.422 0.905009 0.414788 -0.493623
0.423 0.904518 0.415739 -0.488083
0.424 0.904033 0.41669 -0.482356
0.425 0.903553 0.417641 -0.476444
0.426 0.90308 0.418592 -0.470345
0.427 0.902613 0.419543 -0.464061
0.428 0.902152 0.420494 -0.45759
0.429 0.901698 0.421445 -0.450934
0.43 0.90125 0.422396 -0.444092
0.431 0.900809 0.423347 -0.437064
0.432 0.900376 0.424299 -0.42985
0.433 0.89995 0.42525 -0.42245
0.434 0.899531 0.426201 -0.414864
0.435 0.89912 0.427152 -0.407092
0.436 0.898717 0.428103 -0.399135
0.437 0.898322 0.429054 -0.390991
0.438 0.897935 0.430005 -0.382661
0.439 0.897557 0.430956 -0.374146
0.44 0.897187 0.431907 -0.365445
0.441 0.896826 0.432858 -0.356557
0.442 0.896474 0.433809 -0.347484
0.443 0.896131 0.43476 -0.338225
0.444 0.895797 0.435711 -0.32878
0.445 0.895473 0.436662 -0.319149
0.446 0.895159 0.437613 -0.309332
0.447 0.894855 0.438564 -0.299329
0.448 0.894561 0.439515 -0.28914
0.449 0.894277 0.440467 -0.278765
0.45 0.894003 0.441418 -0.268205
0.451 0.89374 0.442369 -0.257458
0.452 0.893488 0.44332 -0.246526
0.453 0.893247 0.444271 -0.235407
0.454 0.893018 0.445222 -0.224103
0.455 0.892799 0.446173 -0.212613
