# interpolation 
# x linterp qspline cspline
0.283 0.714025 0.703773 0.753284
0.284 0.713579 0.703305 0.752741
0.285 0.713133 0.702837 0.752196
0.286 0.712688 0.70237 0.751651
0.287 0.712242 0.701902 0.751104
0.288 0.711796 0.701435 0.750556
0.289 0.71135 0.700968 0.750007
0.29 0.710904 0.700501 0.749457
0.291 0.710459 0.700034 0.748905
0.292 0.710013 0.699567 0.748353
0.293 0.709567 0.6991 0.747799
0.294 0.709121 0.698634 0.747245
0.295 0.708675 0.698167 0.746689
0.296 0.708229 0.697701 0.746132
0.297 0.707784 0.697234 0.745574
0.298 0.707338 0.696768 0.745015
0.299 0.706892 0.696302 0.744455
0.3 0.706446 0.695836 0.743894
0.301 0.706 0.69537 0.743332
0.302 0.705555 0.694904 0.742768
0.303 0.705109 0.694438 0.742204
0.304 0.704663 0.693972 0.741639
0.305 0.704217 0.693507 0.741072
0.306 0.703771 0.693041 0.740505
0.307 0.703326 0.692576 0.739936
0.308 0.70288 0.692111 0.739366
0.309 0.702434 0.691646 0.738796
0.31 0.701988 0.691181 0.738224
0.311 0.701542 0.690716 0.737651
0.312 0.701097 0.690251 0.737078
0.313 0.700651 0.689786 0.736503
0.314 0.700205 0.689321 0.735927
0.315 0.699759 0.688857 0.735351
0.316 0.699313 0.688392 0.734773
0.317 0.698868 0.687928 0.734195
0.318 0.698422 0.687464 0.733615
0.319 0.697976 0.687 0.733034
0.32 0.69753 0.686536 0.732453
0.321 0.697084 0.686072 0.73187
0.322 0.696639 0.685608 0.731287
0.323 0.696193 0.685144 0.730702
0.324 0.695747 0.68468 0.730117
0.325 0.695301 0.684217 0.729531
0.326 0.694855 0.683753 0.728943
0.327 0.69441 0.68329 0.728355
0.328 0.693964 0.682827 0.727766
0.329 0.693518 0.682364 0.727176
0.33 0.693072 0.681901 0.726585
0.331 0.692626 0.681438 0.725993
0.332 0.692181 0.680975 0.7254
0.333 0.691735 0.680512 0.724807
0.334 0.691289 0.68005 0.724212
0.335 0.690843 0.679587 0.723617
0.336 0.690397 0.679125 0.72302
0.337 0.689952 0.678662 0.722423
0.338 0.689506 0.6782 0.721825
0.339 0.68906 0.677738 0.721226
0.34 0.688614 0.677276 0.720626
0.341 0.688168 0.676814 0.720026
0.342 0.687722 0.676352 0.719424
0.343 0.687277 0.67589 0.718822
0.344 0.686831 0.675429 0.718219
0.345 0.686385 0.674967 0.717615
0.346 0.685939 0.674506 0.71701
0.347 0.685493 0.674045 0.716404
0.348 0.685048 0.673583 0.715798
0.349 0.684602 0.673122 0.71519
0.35 0.684156 0.672661 0.714582
0.351 0.68371 0.6722 0.713973
0.352 0.683264 0.671739 0.713364
