# interpolation 
# x linterp integ
0.284 0.95809 0.279592 
0.285 0.957857 0.28055 
0.286 0.957623 0.281508 
0.287 0.95739 0.282465 
0.288 0.957157 0.283423 
0.289 0.956924 0.28438 
0.29 0.956691 0.285336 
0.291 0.956457 0.286293 
0.292 0.956224 0.287249 
0.293 0.955991 0.288205 
0.294 0.955758 0.289161 
0.295 0.955525 0.290117 
0.296 0.955291 0.291072 
0.297 0.955058 0.292028 
0.298 0.954825 0.292983 
0.299 0.954592 0.293937 
0.3 0.954359 0.294892 
0.301 0.954125 0.295846 
0.302 0.953892 0.2968 
0.303 0.953659 0.297754 
0.304 0.953426 0.298707 
0.305 0.953193 0.299661 
0.306 0.952959 0.300614 
0.307 0.952726 0.301566 
0.308 0.952493 0.302519 
0.309 0.95226 0.303471 
0.31 0.952026 0.304424 
0.311 0.951793 0.305376 
0.312 0.95156 0.306327 
0.313 0.951327 0.307279 
0.314 0.951094 0.30823 
0.315 0.950735 0.309181 
0.316 0.950353 0.310131 
0.317 0.949971 0.311081 
0.318 0.949588 0.312031 
0.319 0.949206 0.312981 
0.32 0.948824 0.31393 
0.321 0.948441 0.314878 
0.322 0.948059 0.315827 
0.323 0.947677 0.316774 
0.324 0.947295 0.317722 
0.325 0.946912 0.318669 
0.326 0.94653 0.319616 
0.327 0.946148 0.320562 
0.328 0.945765 0.321508 
0.329 0.945383 0.322454 
0.33 0.945001 0.323399 
0.331 0.944618 0.324344 
0.332 0.944236 0.325288 
0.333 0.943854 0.326232 
0.334 0.943472 0.327176 
0.335 0.943089 0.328119 
0.336 0.942707 0.329062 
0.337 0.942325 0.330004 
0.338 0.941942 0.330947 
0.339 0.94156 0.331888 
0.34 0.941178 0.33283 
0.341 0.940796 0.333771 
0.342 0.940413 0.334711 
0.343 0.940031 0.335652 
0.344 0.939649 0.336591 
0.345 0.939266 0.337531 
0.346 0.938884 0.33847 
0.347 0.938502 0.339409 
0.348 0.93812 0.340347 
0.349 0.937737 0.341285 
0.35 0.937355 0.342222 
0.351 0.936973 0.34316 
0.352 0.93659 0.344096 
0.353 0.936208 0.345033 
0.354 0.935826 0.345969 
0.355 0.935444 0.346904 
0.356 0.935061 0.34784 
0.357 0.934679 0.348774 
0.358 0.934297 0.349709 
0.359 0.933914 0.350643 
0.36 0.933532 0.351577 
0.361 0.93315 0.35251 
0.362 0.932767 0.353443 
0.363 0.932385 0.354376 
0.364 0.932003 0.355308 
0.365 0.931621 0.35624 
0.366 0.931238 0.357171 
0.367 0.930856 0.358102 
0.368 0.930474 0.359033 
0.369 0.930091 0.359963 
0.37 0.929709 0.360893 
0.371 0.929327 0.361823 
0.372 0.928945 0.362752 
0.373 0.928562 0.36368 
0.374 0.92818 0.364609 
0.375 0.927798 0.365537 
0.376 0.927415 0.366464 
0.377 0.927033 0.367392 
0.378 0.926651 0.368318 
0.379 0.926269 0.369245 
0.38 0.925886 0.370171 
0.381 0.925504 0.371097 
0.382 0.925122 0.372022 
0.383 0.924739 0.372947 
0.384 0.924357 0.373871 
0.385 0.923975 0.374796 
0.386 0.923593 0.375719 
0.387 0.92321 0.376643 
0.388 0.922828 0.377566 
0.389 0.922446 0.378488 
0.39 0.922063 0.379411 
0.391 0.921681 0.380333 
0.392 0.921299 0.381254 
0.393 0.920916 0.382175 
0.394 0.920534 0.383096 
0.395 0.920152 0.384016 
0.396 0.91977 0.384936 
0.397 0.919387 0.385856 
0.398 0.919005 0.386775 
0.399 0.918623 0.387694 
0.4 0.91824 0.388612 
0.401 0.917858 0.38953 
0.402 0.917476 0.390448 
0.403 0.917094 0.391365 
0.404 0.916711 0.392282 
0.405 0.916329 0.393199 
0.406 0.915947 0.394115 
0.407 0.915564 0.395031 
0.408 0.915182 0.395946 
0.409 0.9148 0.396861 
0.41 0.914418 0.397776 
0.411 0.914035 0.39869 
0.412 0.913653 0.399604 
0.413 0.913271 0.400517 
0.414 0.912888 0.40143 
0.415 0.912506 0.402343 
0.416 0.912124 0.403255 
0.417 0.911742 0.404167 
0.418 0.911359 0.405079 
0.419 0.910977 0.40599 
0.42 0.910595 0.406901 
0.421 0.910212 0.407811 
0.422 0.90983 0.408721 
0.423 0.909448 0.409631 
0.424 0.909065 0.41054 
0.425 0.908683 0.411449 
0.426 0.908301 0.412357 
0.427 0.907919 0.413265 
0.428 0.907536 0.414173 
0.429 0.907154 0.41508 
0.43 0.906772 0.415987 
0.431 0.906389 0.416894 
0.432 0.906007 0.4178 
0.433 0.905625 0.418706 
0.434 0.905243 0.419611 
0.435 0.90486 0.420517 
0.436 0.904478 0.421421 
0.437 0.904096 0.422325 
0.438 0.903713 0.423229 
0.439 0.903331 0.424133 
0.44 0.902949 0.425036 
0.441 0.902567 0.425939 
0.442 0.902184 0.426841 
0.443 0.901802 0.427743 
0.444 0.90142 0.428645 
0.445 0.901037 0.429546 
0.446 0.900655 0.430447 
0.447 0.900273 0.431347 
0.448 0.899891 0.432247 
0.449 0.899508 0.433147 
0.45 0.899126 0.434046 
0.451 0.898744 0.434945 
0.452 0.898361 0.435844 
